"Plasma_lipid","Intestinal_ba","bicor","adj_pval"
"TG.50.0.FA14.0","3a7b",-0.0600065767930966,1
"TG.50.0.FA16.0","3a7b",-0.359431193619005,0.182894893621198
"TG.50.0.FA18.0","3a7b",-0.297715898793259,0.310071604894238
"TG.50.1.FA14.0","3a7b",-0.404665478899496,0.129206699538602
"TG.50.1.FA16.0","3a7b",-0.399082232825717,0.121403221519469
"TG.50.1.FA16.1","3a7b",-0.407849503407367,0.109148935702945
"TG.50.1.FA18.0","3a7b",-0.386588397333159,0.13920335705161
"TG.50.1.FA18.1","3a7b",-0.400622281791536,0.119237463899174
"TG.50.1.FA20.1","3a7b",-0.257647642281804,0.555686896341122
"TG.50.2.FA14.0","3a7b",-0.430959038950287,0.0816764659782416
"TG.50.2.FA14.1","3a7b",-0.176906523516798,0.742632440333809
"TG.50.2.FA16.0","3a7b",-0.359979341161714,0.181910490861454
"TG.50.2.FA16.1","3a7b",-0.413965028206434,0.101183883666001
"TG.50.2.FA18.0","3a7b",-0.376724168210582,0.171455799408662
"TG.50.2.FA18.1","3a7b",-0.430585837289643,0.0819301655230771
"TG.50.2.FA18.2","3a7b",-0.0975625687751508,0.879273032027353
"TG.50.2.FA20.2","3a7b",NA,NA
"TG.50.3.FA14.0","3a7b",-0.356132129185827,0.189005028249419
"TG.50.3.FA14.1","3a7b",-0.361644946541816,0.188401933197976
"TG.50.3.FA16.0","3a7b",-0.243147566929719,0.452971521573969
"TG.50.3.FA16.1","3a7b",-0.391907121387067,0.131485018806256
"TG.50.3.FA18.0","3a7b",-0.438444071926031,0.335488709706356
"TG.50.3.FA18.1","3a7b",-0.418178715845094,0.0962470639130124
"TG.50.3.FA18.2","3a7b",-0.294044889007452,0.317934883314218
"TG.50.3.FA18.3","3a7b",-0.122604529101547,0.829244988366067
"TG.50.3.FA20.3","3a7b",-0.0477728967304976,1
