"Plasma_lipid","Biliary_ba","bicor","adj_pval"
"TG.48.0.FA14.0","3b7a12a",-0.492342170544502,0.00614777596445908
"TG.48.0.FA16.0","3b7a12a",-0.546985209091954,0.000867786062365793
"TG.48.0.FA18.0","3b7a12a",-0.449755882167756,0.0175326211310831
"TG.48.1.FA12.0","3b7a12a",-0.251566544717164,0.428067167228518
"TG.48.1.FA14.0","3b7a12a",-0.587399989863408,0.000527008758050496
"TG.48.1.FA14.1","3b7a12a",-0.263043226789851,0.398430034162212
"TG.48.1.FA16.0","3b7a12a",-0.587183564389475,0.000527008758050496
"TG.48.1.FA16.1","3b7a12a",-0.579637689500909,0.000527008758050496
"TG.48.1.FA18.0","3b7a12a",-0.281031076756486,0.272778035011637
"TG.48.1.FA18.1","3b7a12a",-0.587477831180782,0.000527008758050496
"TG.48.2.FA12.0","3b7a12a",-0.620538571980427,0.000480768423065641
"TG.48.2.FA14.0","3b7a12a",-0.542183411716705,0.000970479351232142
"TG.48.2.FA14.1","3b7a12a",-0.590202279793858,0.000527008758050496
"TG.48.2.FA16.0","3b7a12a",-0.575130396146337,0.000555464630132617
"TG.48.2.FA16.1","3b7a12a",-0.604117408901357,0.000393021880541975
"TG.48.2.FA18.0","3b7a12a",-0.0841661925147262,0.896115207191602
"TG.48.2.FA18.1","3b7a12a",-0.626750667643138,0.000227897871021999
"TG.48.2.FA18.2","3b7a12a",-0.432135990637555,0.0118670166184236
"TG.48.3.FA12.0","3b7a12a",-0.512676575051565,0.00608162196287668
"TG.48.3.FA14.0","3b7a12a",-0.357953687617842,0.0636628716049867
"TG.48.3.FA14.1","3b7a12a",-0.435452977287771,0.0111821006258215
"TG.48.3.FA16.0","3b7a12a",-0.36507208885665,0.0571862466524025
"TG.48.3.FA16.1","3b7a12a",-0.570918526722421,0.000610810115598717
"TG.48.3.FA18.1","3b7a12a",-0.549879261098153,0.000828002355200651
"TG.48.3.FA18.2","3b7a12a",-0.464063946729309,0.00705953014954562
"TG.48.3.FA18.3","3b7a12a",-0.362010739829493,0.126276748534669
"TG.48.4.FA12.0","3b7a12a",-0.262222870993413,0.413390704989866
"TG.48.4.FA14.0","3b7a12a",0.898814801386707,0.55534532472227
"TG.48.4.FA14.1","3b7a12a",-0.530603792189104,0.0204938459469213
"TG.48.4.FA16.0","3b7a12a",0.20671817501211,0.618100550310678
"TG.48.4.FA16.1","3b7a12a",-0.342086135879854,0.141064980833304
"TG.48.4.FA18.1","3b7a12a",-0.481759844688055,0.0644681983119735
"TG.48.4.FA18.2","3b7a12a",-0.0235855080389741,1
"TG.48.4.FA18.3","3b7a12a",-0.198845600631172,0.748388193047663
"TG.48.5.FA18.2","3b7a12a",0.0302809793094075,1
"TG.48.5.FA18.3","3b7a12a",-1,NA
"TG.49.0.FA15.0","3b7a12a",-0.575237304665241,0.00149667493244304
"TG.49.0.FA16.0","3b7a12a",-0.466133786956846,0.00567377240193493
"TG.49.0.FA17.0","3b7a12a",-0.52774933019931,0.00195936549752858
"TG.49.0.FA18.0","3b7a12a",-0.545806631344791,0.00132743296768964
"TG.49.1.FA14.0","3b7a12a",-0.349099847196912,0.137643998186098
"TG.49.1.FA15.0","3b7a12a",-0.566452901274492,0.000648713430099679
"TG.49.1.FA16.0","3b7a12a",-0.59495154965907,0.000490131415120572
"TG.49.1.FA16.1","3b7a12a",-0.627146295220471,0.000227897871021999
"TG.49.1.FA17.0","3b7a12a",-0.479745439368342,0.0131512866885813
"TG.49.1.FA18.1","3b7a12a",-0.555209681385091,0.000763950380463192
"TG.49.2.FA14.0","3b7a12a",-0.455330457697377,0.0293507929427173
"TG.49.2.FA15.0","3b7a12a",-0.439073577270642,0.0103502711138389
"TG.49.2.FA16.0","3b7a12a",-0.398158833844918,0.0236715090470914
"TG.49.2.FA16.1","3b7a12a",-0.614745784506159,0.000332004525903701
"TG.49.2.FA17.0","3b7a12a",-0.269672841691989,0.359002136332081
